b,ccnum,ccty,loa,k,Nind,cty_lab,region_lab,area_lab,ind_lab,misind_lab,measure_lab,agec2_lab,hship_lab,ciint_lab,survey,year,data_source,w_region,subg,nosubnat,measure,cty_2,,,,,,,,,,,,,,,,,,,,,
0.0220936,,BTN,area,66%,33,Bhutan,,Rural,Services,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0073315,,BTN,area,66%,33,Bhutan,,Urban,Services,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0160174,,BTN,area,66%,33,Bhutan,,Rural,Political participation,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0382547,,BTN,area,66%,33,Bhutan,,Urban,Political participation,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0167422,,BTN,area,66%,33,Bhutan,,Rural,Donations (time & money),,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0236676,,BTN,area,66%,33,Bhutan,,Urban,Donations (time & money),,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0111591,,BTN,area,66%,33,Bhutan,,Rural,Community relationship,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0156471,,BTN,area,66%,33,Bhutan,,Urban,Community relationship,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0021497,,BTN,area,66%,33,Bhutan,,Rural,Family,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0018224,,BTN,area,66%,33,Bhutan,,Urban,Family,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0022666,,BTN,area,66%,33,Bhutan,,Rural,Safety,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0036921,,BTN,area,66%,33,Bhutan,,Urban,Safety,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0007163,,BTN,area,66%,33,Bhutan,,Rural,Ecological issues,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0027259,,BTN,area,66%,33,Bhutan,,Urban,Ecological issues,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0039277,,BTN,area,66%,33,Bhutan,,Rural,Urbanisation issues,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.01081,,BTN,area,66%,33,Bhutan,,Urban,Urbanisation issues,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0024346,,BTN,area,66%,33,Bhutan,,Rural,Resp. towards environment,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0020466,,BTN,area,66%,33,Bhutan,,Urban,Resp. towards environment,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0218825,,BTN,area,66%,33,Bhutan,,Rural,Wildlife damage (rural),,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0013138,,BTN,area,66%,33,Bhutan,,Urban,Wildlife damage (rural),,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0086525,,BTN,area,66%,33,Bhutan,,Rural,Assets,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.003756,,BTN,area,66%,33,Bhutan,,Urban,Assets,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0181919,,BTN,area,66%,33,Bhutan,,Rural,Housing,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0098402,,BTN,area,66%,33,Bhutan,,Urban,Housing,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0196806,,BTN,area,66%,33,Bhutan,,Rural,HH per capita income,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0052634,,BTN,area,66%,33,Bhutan,,Urban,HH per capita income,,Absolute contribution (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0067833,,BTN,area,66%,33,Bhutan,,Rural,Life satisfaction,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0041277,,BTN,area,66%,33,Bhutan,,Urban,Life satisfaction,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0062118,,BTN,area,66%,33,Bhutan,,Rural,Positive emotions,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0044054,,BTN,area,66%,33,Bhutan,,Urban,Positive emotions,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0059337,,BTN,area,66%,33,Bhutan,,Rural,Negative emotions,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0047274,,BTN,area,66%,33,Bhutan,,Urban,Negative emotions,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.015943,,BTN,area,66%,33,Bhutan,,Rural,Spirituality,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0122323,,BTN,area,66%,33,Bhutan,,Urban,Spirituality,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0033608,,BTN,area,66%,33,Bhutan,,Rural,Mental health,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0021198,,BTN,area,66%,33,Bhutan,,Urban,Mental health,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0038661,,BTN,area,66%,33,Bhutan,,Rural,Self-reported health status,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0027515,,BTN,area,66%,33,Bhutan,,Urban,Self-reported health status,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0028131,,BTN,area,66%,33,Bhutan,,Rural,Healthy days,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0022105,,BTN,area,66%,33,Bhutan,,Urban,Healthy days,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0033459,,BTN,area,66%,33,Bhutan,,Rural,Disability,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0021735,,BTN,area,66%,33,Bhutan,,Urban,Disability,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0233326,,BTN,area,66%,33,Bhutan,,Rural,Work,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0159681,,BTN,area,66%,33,Bhutan,,Urban,Work,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0098158,,BTN,area,66%,33,Bhutan,,Rural,Sleep,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0110584,,BTN,area,66%,33,Bhutan,,Urban,Sleep,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0118035,,BTN,area,66%,33,Bhutan,,Rural,Literacy,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0053063,,BTN,area,66%,33,Bhutan,,Urban,Literacy,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0142311,,BTN,area,66%,33,Bhutan,,Rural,Schooling,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0070399,,BTN,area,66%,33,Bhutan,,Urban,Schooling,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.016701,,BTN,area,66%,33,Bhutan,,Rural,Knowledge,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0120683,,BTN,area,66%,33,Bhutan,,Urban,Knowledge,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0002803,,BTN,area,66%,33,Bhutan,,Rural,Values,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.000197,,BTN,area,66%,33,Bhutan,,Urban,Values,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0007951,,BTN,area,66%,33,Bhutan,,Rural,Speak native language,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0006507,,BTN,area,66%,33,Bhutan,,Urban,Speak native language,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0123746,,BTN,area,66%,33,Bhutan,,Rural,Cultural participation,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0110374,,BTN,area,66%,33,Bhutan,,Urban,Cultural participation,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0086881,,BTN,area,66%,33,Bhutan,,Rural,Artisan skills,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0063568,,BTN,area,66%,33,Bhutan,,Urban,Artisan skills,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0072696,,BTN,area,66%,33,Bhutan,,Rural,Driglam Namzha,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0071188,,BTN,area,66%,33,Bhutan,,Urban,Driglam Namzha,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0046799,,BTN,area,66%,33,Bhutan,,Rural,Government performance,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0037818,,BTN,area,66%,33,Bhutan,,Urban,Government performance,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0034468,,BTN,area,66%,33,Bhutan,,Rural,Fundamental rights,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0028948,,BTN,area,66%,33,Bhutan,,Urban,Fundamental rights,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0165229,,BTN,area,66%,33,Bhutan,,Rural,Services,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0049141,,BTN,area,66%,33,Bhutan,,Urban,Services,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0113155,,BTN,area,66%,33,Bhutan,,Rural,Political participation,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0184967,,BTN,area,66%,33,Bhutan,,Urban,Political participation,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0123198,,BTN,area,66%,33,Bhutan,,Rural,Donations (time & money),,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0121867,,BTN,area,66%,33,Bhutan,,Urban,Donations (time & money),,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0078253,,BTN,area,66%,33,Bhutan,,Rural,Community relationship,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0078942,,BTN,area,66%,33,Bhutan,,Urban,Community relationship,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0016896,,BTN,area,66%,33,Bhutan,,Rural,Family,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0013419,,BTN,area,66%,33,Bhutan,,Urban,Family,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0017233,,BTN,area,66%,33,Bhutan,,Rural,Safety,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0024513,,BTN,area,66%,33,Bhutan,,Urban,Safety,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0004392,,BTN,area,66%,33,Bhutan,,Rural,Ecological issues,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0014378,,BTN,area,66%,33,Bhutan,,Urban,Ecological issues,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0029793,,BTN,area,66%,33,Bhutan,,Rural,Urbanisation issues,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0068604,,BTN,area,66%,33,Bhutan,,Urban,Urbanisation issues,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0018268,,BTN,area,66%,33,Bhutan,,Rural,Resp. towards environment,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.001208,,BTN,area,66%,33,Bhutan,,Urban,Resp. towards environment,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0152623,,BTN,area,66%,33,Bhutan,,Rural,Wildlife damage (rural),,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0007409,,BTN,area,66%,33,Bhutan,,Urban,Wildlife damage (rural),,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0067268,,BTN,area,66%,33,Bhutan,,Rural,Assets,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0028944,,BTN,area,66%,33,Bhutan,,Urban,Assets,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0139963,,BTN,area,66%,33,Bhutan,,Rural,Housing,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0066309,,BTN,area,66%,33,Bhutan,,Urban,Housing,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0149905,,BTN,area,66%,33,Bhutan,,Rural,HH per capita income,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
0.0038013,,BTN,area,66%,33,Bhutan,,Urban,HH per capita income,,Absolute contribution (dep. adj),,,,GNH Survey 2015,2015,CBS,South Asia,,,actb,BT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2959880,,BTN,area,66%,33,Bhutan,,Rural,Life satisfaction,,Censored headcount ratio (dep),,,,GNH Survey 2015,2015,CBS,South Asia,,,hdk,BT,,,,,,,,,,,,,,,,,,,,,
